id	type_analysis	status	aggregatiemethode	index_min_min	index_min_harm	index_harm_harm	versie	kwaliteitsniveau
245458_2018-08-01	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
251090_2018-09-11	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
255350_2023-08-28	2330_dw	0	RapportageHR	-0.5	-0.278255341496448	-0.270512641430367	Versie 3	1
256978_2018-08-06	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
258782_2018-08-13	2310	1	RapportageHR	-1	-1	-1	Versie 3	1
25974_2023-08-28	2330_bu	0	RapportageHR	-0.9	-0.777777777777778	-0.628865979381444	Versie 3	1
260306_2018-07-27	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
2610_2014-08-25	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
2610_2022-08-31	4030	1	RapportageHR	-0.5	-0.25	-0.0425987701030598	Versie 3	1
261854_2019-08-05	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
26322_2014-09-02	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
26322_2022-08-24	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
265170_2018-08-06	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
266294_2018-09-12	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
266834_2017-07-14	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
267190_2014-09-08	4030	1	RapportageHR	0	0.125	0.30688622754491	Versie 3	1
267190_2019-08-22	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
267474_2018-08-01	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
269298_2017-07-04	4010	1	RapportageHR	-1	-1	-1	Versie 3	1
269298_2024-07-04	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
27090_2015-06-01	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
27090_2023-09-07	4030	0	RapportageHR	-0.305555555555556	-0.127906976744186	0.176400689204444	Versie 3	1
272630_2023-08-30	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
272850_2018-08-02	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
274002_2022-09-29	2330_dw	0	RapportageHR	-1	-1	-1	Versie 3	1
275382_2018-08-09	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
275830_2017-07-13	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
27602_2014-09-09	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
27602_2019-08-19	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
276438_2023-08-24	2330_dw	0	RapportageHR	-1	-1	-1	Versie 3	1
277214_2018-08-20	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
279146_2024-06-20	2310	1	RapportageHR	0	0.167664670658683	0.296090113551974	Versie 3	1
279478_2014-09-03	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
279478_2019-08-22	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
28126_2016-10-11	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
28126_2023-06-28	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
281554_2018-08-02	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
282322_2017-07-28	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
282678_2018-09-12	2310	1	RapportageHR	-1	-1	-1	Versie 3	1
28370_2014-08-28	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
28370_2022-08-30	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
285906_2018-07-31	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
28658_2014-08-21	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
28658_2022-08-31	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
287094_2024-07-10	2310	1	RapportageHR	-1	-1	-1	Versie 3	1
289078_2018-09-14	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
