id	type_analysis	criterium	status_criterium	aggregatiemethode	index_min_criterium	index_harm_criterium	versie	kwaliteitsniveau
1297718_2018-09-17	2330_bu	Structuur	0	RapportageHR	-1	-1	Versie 3	1
1297718_2018-09-17	2330_bu	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1297718_2018-09-17	2330_bu	Verstoring	0	RapportageHR	-0.821428571428571	-0.5472597299444	Versie 3	1
1303926_2017-07-14	2330_bu	Structuur	0	RapportageHR	-1	-1	Versie 3	1
1303926_2017-07-14	2330_bu	Vegetatie	0	RapportageHR	-0.5	-0.5	Versie 3	1
1303926_2017-07-14	2330_bu	Verstoring	1	RapportageHR	0.8	0.928571428571429	Versie 3	1
1313142_2017-07-27	2330_bu	Structuur	1	RapportageHR	0.0555555555555555	0.278930382664822	Versie 3	1
1313142_2017-07-27	2330_bu	Vegetatie	0	RapportageHR	-0.5	-0.5	Versie 3	1
1313142_2017-07-27	2330_bu	Verstoring	1	RapportageHR	-0.533333333333333	-0.0935251798561152	Versie 3	1
131806_2016-10-20	4010	Structuur	1	RapportageHR	0.852941176470588	0.852941176470588	Versie 3	1
131806_2016-10-20	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
131806_2016-10-20	4010	Verstoring	1	RapportageHR	0.7	0.816438356164383	Versie 3	1
131958_2023-09-13	2330_bu	Structuur	0	RapportageHR	-0.9	-0.80952380952381	Versie 3	1
131958_2023-09-13	2330_bu	Vegetatie	0	RapportageHR	-0.5	-0.5	Versie 3	1
131958_2023-09-13	2330_bu	Verstoring	1	RapportageHR	-0.166666666666667	0.338962605548854	Versie 3	1
1328054_2017-08-22	2330_bu	Structuur	1	RapportageHR	0.0555555555555555	0.171740827478532	Versie 3	1
1328054_2017-08-22	2330_bu	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1328054_2017-08-22	2330_bu	Verstoring	1	RapportageHR	-0.188888888888889	0.236675252625322	Versie 3	1
1340342_2018-09-11	2310	Structuur	0	RapportageHR	-1	-1	Versie 3	1
1340342_2018-09-11	2310	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1340342_2018-09-11	2310	Verstoring	1	RapportageHR	0.7	0.915492957746479	Versie 3	1
134098_2014-09-09	2310	Structuur	0	RapportageHR	-1	-1	Versie 3	1
134098_2014-09-09	2310	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
134098_2014-09-09	2310	Verstoring	1	RapportageHR	0.25	0.700223713646532	Versie 3	1
134098_2023-09-07	4030	Structuur	1	RapportageHR	0	0	Versie 3	1
134098_2023-09-07	4030	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
134098_2023-09-07	4030	Verstoring	0	RapportageHR	-0.25	0.179190751445087	Versie 3	1
1344438_2017-07-28	4030	Structuur	0	RapportageHR	-1	-1	Versie 3	1
1344438_2017-07-28	4030	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1344438_2017-07-28	4030	Verstoring	1	RapportageHR	1	1	Versie 3	1
1350866_2018-07-31	2330_bu	Structuur	0	RapportageHR	-0.95	-0.905263157894737	Versie 3	1
1350866_2018-07-31	2330_bu	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
