autonummering;Veldcode;IDToonW;sampling_unit_code;naam;SGO__km²_;SBZ;provincie;x;y;AfstandTot;RankingGRT;SGO;Volgorde_cyclus1;Jaar cyclus 1;jaar_cyclus2;FID_1;UIDN;OIDN;VHAS;VHAG;NAAM_1;REGCODE;REGCODE1;BEHEER;CATC;LBLCATC;BEKNR;BEKNAAM;STRMGEB;KWALDOEL;LBLKWAL;GEO;LBLGEO;VHAZONENR;WTRLICHC;LENGTE;Distance;bron+datum_cyclus1;Opm_cyclus1;bron+datum_cyclus2;Opm_cyclus2;"verplaatsing (geen: 0; origineel: -1 of verplaatst: 1; meetpunt geschrapt door ongeschikt: -2)";
124;Renne_01;397;1_4_397;RENNE;<10;intersecting or downstream;Limburg;246378,9324;206356,8269;14,934359;20640146;<10;49;12;;3830;392820;56163;6010566;10143;Renne;L20; ;W7.02;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;0;10 tot 2.5 m;922;L213_141;275,03;0,0026;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
125;KlHGr_01;1273;1_4_1273;KLEINE HOOFDGRACHT;10-50;intersecting or downstream;Antwerpen;208308,7739;206144,7075;16,046215;2746230;>10;50;7;;20528;371415;97361;7013692;8797;Kleine Hoofdgracht;A.7.34; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;500;L111_707;1055,19;1,147716;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
126;NooBe_02;1016;1_4_1016;NOORBEEK;<10;intersecting or downstream;Limburg;249751,0269;162350,342;6,569045;20651442;<10;50;12;;36270;400391;36132;3600616;9682;Noorbeek;L003; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;2;< 0.25 m;900;NL_M;2038,38;0,003452;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
127;Maas_23;1815;1_4_1815;MAAS;>50;intersecting or downstream;Limburg;243237,7926;176989,8337;18,228712;2853618;>10;51;7;2024;24071;373363;22349;6000026;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;910;VL11_203;14019,75;0,00154;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
128;ZutBe_01;1521;1_4_1521;ZUTENDAALBEEK;<10;intersecting or downstream;Limburg;232206,8186;177351,9614;16,003141;21387058;<10;51;12;;5542;392224;45468;6000937;7921;Zutendaalbeek;L120; ;70000;2;Geklasseerd, tweede categorie;9;Demerbekken;Schelde;310;Viswater;0;10 tot 2.5 m;600;L213_114;979,4;0,001254;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
129;BolBe_07;478;1_4_478;BOLLISENBEEK;<10;intersecting or downstream;Limburg;223898,1807;197745,4415;4,765651;21646546;<10;52;12;;7992;392488;62874;6018377;9702;Bollisenbeek;L71; ;W7.10;3;Geklasseerd, derde categorie;11;Maasbekken;Maas;310;Viswater;0;10 tot 2.5 m;935;L213_136;2811,62;0,000016;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
130;Dommel_06;926;1_4_926;DOMMEL;>50;intersecting or downstream;Limburg;224866,8487;209874,3322;6,740147;2992914;>10;52;7;;27568;380238;62677;6018233;9512;Dommel;L6; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;935;VL05_136;1097,69;0,002965;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
131;OudDo_02;108;1_4_108;OUDE DOMMEL;<10;intersecting or downstream;Limburg;225028,6502;211109,9435;10,796713;21938450;<10;53;12;;12346;416025;96596;7008864;9816;Oude Dommel;L66; ;V0102;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;1;2.5 tot 0.25 m;935;L213_136;495,97;0,492845;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
132;RodLo_01;1292;1_4_1292;RODE LOOP;10-50;intersecting or downstream;Antwerpen;193714,5963;216777,5937;11,888417;3009526;>10;53;7;;5188;433134;23071;1000403;9013;Rode Loop;A.8.20.0; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;531;L107_723;1593,9;0,195112;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
133;BriLo_02;1420;1_4_1420;BRISDILLOOP;10-50;intersecting or downstream;Antwerpen;209691,6441;204755,9821;6,183306;3012470;>10;54;7;;37323;359677;66402;6021804;9048;Brisdilloop;A.7.33.2; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;500;L111_1065;2170,32;2,163205;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
134;Maas_02;253;1_4_253;MAAS;>50;intersecting or downstream;Limburg;245296,8162;183718,3206;14,965022;3034610;>10;55;7;;7383;356598;22347;6000010;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;910;VL11_203;1179,26;0,003588;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
135;GroNe_12o;1602;1_4_1602;GROTE NETE;10-50;intersecting or downstream;Antwerpen;212018,0926;205957,9558;14,099106;3057270;>10;56;7;;27695;382231;101161;7026344;8501;Grote Nete;A.7; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;0;10 tot 2.5 m;500;L107_708;1716,16;0,003127;orginele steekproeftrekking 2014;gemeten <= 2019 (maar verplaatst);;;-1;
136;GroNe_02;1575;1_4_1575;GROTE NETE;10-50;intersecting or downstream;Antwerpen;210170,4208;206329,9601;12,263651;3097462;>10;57;8;;253;426460;103620;7039002;8501;Grote Nete;A.7; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;310;Viswater;0;10 tot 2.5 m;500;L107_708;1614,73;3,192689;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
137;KleNe_02;631;1_4_631;KLEINE NETE;>50;intersecting or downstream;Antwerpen;187108,7044;209979,4815;15,142273;3114742;>10;58;8;;7132;361542;56739;6011610;8502;Kleine Nete;A.8; ;V0101;1;Geklasseerd, eerste categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;532;VL11_127;996,12;0,204823;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
138;Maas_01o;969;1_4_969;MAAS;>50;intersecting or downstream;Limburg;253223,7586;203857,3388;10,665968;3115490;>10;59;8;;6281;362060;39709;3601124;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;922;VL11_203;3975,2;0,000333;orginele steekproeftrekking 2014;gemeten <= 2019 (maar verplaatst);;;-1;
139;Berwijn_04;359;1_4_359;BERWIJN;>50;intersecting or downstream;Limburg;245580,9837;161040,0032;15,507304;3173042;>10;60;8;2025;4297;357829;36139;3600721;9536;Berwijn;L03; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;900;VL05_134;5000,33;0,000382;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023 (uitval);0;
140;Maas_24;1852;1_4_1852;MAAS;>50;intersecting or downstream;Limburg;245288,1166;178665,0234;11,690925;3197426;>10;61;8;2025;24071;373363;22349;6000026;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;910;VL11_203;14019,75;0,002112;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;;0;
141;Maas_13;158;1_4_158;MAAS;>50;intersecting or downstream;Limburg;248600,9169;191609,4399;12,253254;3238226;>10;62;8;;8201;356824;22345;6000008;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;920;VL11_203;7589,74;0,00254;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
142;Dommel_02o;1054;1_4_1054;DOMMEL;>50;intersecting or downstream;Limburg;224535,3013;213300,7056;9,111865;3240210;>10;63;8;;22606;379992;62660;6018216;9512;Dommel;L6; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;935;VL05_136;513,81;0,001329;orginele steekproeftrekking 2014;gemeten <= 2019 (maar verplaatst);;;-1;
143;BolBe_01;466;1_4_466;BOLLISENBEEK;10-50;intersecting or downstream;Limburg;222140,8157;199704,1212;10,037687;3266770;>10;64;8;;7542;359445;62873;6018376;9702;Bollisenbeek;L71; ;W7.10;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;0;10 tot 2.5 m;935;L107_854;2165,44;0,004099;orginele steekproeftrekking 2014;gemeten <= 2019;extra meetpunt in 2022 voor evinbo-project milklim;gemeten in 2022;0;
144;HanLo_01o;831;1_4_831;HANSKENSELSLOOP;10-50;intersecting or downstream;Antwerpen;206360,8603;204632,512;11,424356;3303286;>10;65;9;;42287;388893;83078;6031976;8882;Hanskeselsloop;A.7.33; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;500;L213_123;1220,58;1,912205;orginele steekproeftrekking 2014;gemeten <= 2019 (maar verplaatst);;;-1;
145;DesNe_04;850;1_4_850;DESSELSE NEET;10-50;intersecting or downstream;Antwerpen;200362,1959;215760,9605;12,921455;3378422;>10;66;9;;4305;357848;78451;6030567;8710;Desselse Neet;A.8.22; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;530;L111_717;1360,7;1,425502;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
146;Maas_14;173;1_4_173;MAAS;>50;intersecting or downstream;Limburg;248250,0068;190286,2745;3,588816;3402066;>10;67;9;2025;8201;356824;22345;6000008;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;920;VL11_203;7589,74;0,002122;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
147;Maas_06;128;1_4_128;MAAS;>50;intersecting or downstream;Limburg;248118,5225;193739,0394;25,119387;3406162;>10;68;9;2025;8199;356822;22343;6000006;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;920;VL11_203;2973,21;0,001346;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
148;Voer_06;1041;1_4_1041;VOER;10-50;intersecting or downstream;Limburg;250076,5448;161383,8616;6,33906;3431858;>10;69;9;2025;22087;370131;96600;7008866;9574;Voer;L001; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;900;L107_891;1709,11;0,00336;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
149;Asbeek_02;1759;1_4_1759;ASBEEK;10-50;intersecting or downstream;Antwerpen;206838,2045;204157,8419;17,376808;3446646;>10;70;9;;9226;358221;56692;6012144;8953;Asbeek;A.7.33; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;500;L111_1065;4048,67;1,766446;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
150;Dommel_07;919;1_4_919;DOMMEL;>50;intersecting or downstream;Limburg;224673,7479;210456,4211;11,113781;3481874;>10;71;9;;27568;380238;62677;6018233;9512;Dommel;L6; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;935;VL05_136;1097,69;0,002461;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
151;Voer_01;9;1_4_9;VOER;10-50;intersecting or downstream;Limburg;246975,4858;162158,3508;1,908662;3483058;>10;72;9;2025;7498;359044;36148;3600745;9574;Voer;L001; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;900;L107_891;401;0,003801;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023 (uitval);0;
152;GroNe_07;1535;1_4_1535;GROTE NETE;10-50;intersecting or downstream;Antwerpen;207480,5224;205708,6977;5,263574;3729270;>10;73;10;2025;9228;358223;56218;6012150;8501;Grote Nete;A.7; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;500;L107_708;1385,31;2,1016;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023 (uitval);0;
153;Maas_25;1810;1_4_1810;MAAS;>50;intersecting or downstream;Limburg;242930,589;176604,6181;27,330707;3757298;>10;74;10;2025;24071;373363;22349;6000026;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;910;VL11_203;14019,75;0,003073;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
154;Berwijn_05;317;1_4_317;BERWIJN;>50;intersecting or downstream;Limburg;242803,094;161362,5151;11,383356;3799218;>10;75;10;2025;4297;357829;36139;3600721;9536;Berwijn;L03; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;900;VL05_134;5000,33;0,00064;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023 (uitval);0;
155;Maas_26;259;1_4_259;MAAS;>50;intersecting or downstream;Limburg;245884,0881;183716,2758;40,170543;3886578;>10;76;10;2025;24071;373363;22349;6000026;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;910;VL11_203;14019,75;0,003871;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
156;Voer_04;20;1_4_20;VOER;10-50;intersecting or downstream;Limburg;247930,9497;161929,5851;5,242937;3902898;>10;77;10;;13059;370671;96866;7007318;9574;Voer;L001; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;900;L107_891;1037,14;0,170379;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
157;KleNe_04;610;1_4_610;KLEINE NETE;>50;intersecting or downstream;Antwerpen;185162,6533;209383,5604;14,613061;3979222;>10;78;10;;20202;372501;56736;6011607;8502;Kleine Nete;A.8; ;V0101;1;Geklasseerd, eerste categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;532;VL11_127;1121,31;0,004316;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
158;BriLo_03;1415;1_4_1415;BRISDILLOOP;10-50;intersecting or downstream;Antwerpen;209333,1088;204419,2506;13,782918;4028278;>10;79;10;;37323;359677;66402;6021804;9048;Brisdilloop;A.7.33.2; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;500;L111_1065;2170,32;3,606787;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
159;GroNe_13;1605;1_4_1605;GROTE NETE;10-50;intersecting or downstream;Antwerpen;212218,4045;205926,8835;7,901548;4105846;>10;80;10;;27695;382231;101161;7026344;8501;Grote Nete;A.7; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;0;10 tot 2.5 m;500;L107_708;1716,16;0,003653;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
160;GroNe_08;1556;1_4_1556;GROTE NETE;10-50;intersecting or downstream;Antwerpen;209016,1578;206116,5263;11,020255;4110198;>10;81;11 --> 2020;2027;10352;359056;38690;1502745;8501;Grote Nete;A.7; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;500;L107_708;1866,92;1,835637;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt, maar komt ook voor in nieuwe steekproeftrekking in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
161;Maas_27;1800;1_4_1800;MAAS;>50;intersecting or downstream;Limburg;242301,7672;175857,3878;3,278863;4117746;>10;82;11 --> 2020;2026;24071;373363;22349;6000026;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;910;VL11_203;14019,75;0,001061;orginele steekproeftrekking 2014 & steekproefvernieuwing2020;"niet bezocht voor 2019 --> geschrapt, maar komt ook voor in nieuwe steekproeftrekking in 2020 --> niet gemeten in 2020; geschrapt wegens steekproefvernieuwing in 2021 en hierbij niet opnieuw geselecteerd";steekproefvernieuwing2022_2e_cylcus;;0;
162;Voer_07o;1037;1_4_1037;VOER;10-50;intersecting or downstream;Limburg;249770,349;161555,6988;13,926085;4152754;>10;83;11 --> 2020;;22087;370131;96600;7008866;9574;Voer;L001; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;900;L107_891;1709,11;0,00265;orginele steekproeftrekking 2014 & steekproefvernieuwing2020;"niet bezocht voor 2019 --> geschrapt, maar komt ook voor in nieuwe steekproeftrekking in 2020; gemeten in 2020 (maar verplaatst)";;;-1;
163;DesNe_05o;838;1_4_838;DESSELSE NEET;10-50;intersecting or downstream;Antwerpen;199562,4868;215643,394;18,510712;4193526;>10;84;11;;4305;357848;78451;6030567;8710;Desselse Neet;A.8.22; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;530;L111_717;1360,7;1,480309;orginele steekproeftrekking 2014;gemeten <= 2019 (maar verplaatst);;;-1;
164;Mark_01o;1640;1_4_1640;MARK;>50;intersecting or downstream;Antwerpen;179455,5872;231899,2319;13,269181;4275614;>10;85;11 --> 2020;;13863;365496;74323;6027522;9502;Mark;A.4; ;V0101;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;940;VL11_145;843,92;0,00266;orginele steekproeftrekking 2014 & steekproefvernieuwing2020;"niet bezocht voor 2019 --> geschrapt, maar komt ook voor in nieuwe steekproeftrekking in 2020; gemeten in 2020 (maar verplaatst)";;;-1;
165;Abeek_01o;47;1_4_47;ABEEK;>50;intersecting or downstream;Limburg;245198,8559;206415,4505;14,796594;4325778;>10;86;11;;17571;363528;87423;6035431;9505;Abeek;L19; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;921;VL11_133;1770,34;0,004086;orginele steekproeftrekking 2014;gemeten <= 2019 (maar verplaatst);;;-1;
166;KleNe_05;459;1_4_459;KLEINE NETE;>50;intersecting or downstream;Antwerpen;180091,2452;208410,6659;12,769832;4367318;>10;87;11;2026;27021;380920;100286;7026174;8502;Kleine Nete;A.8; ;V0101;1;Geklasseerd, eerste categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;532;VL11_127;1035,9;0,004727;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
167;VarBe_01;1333;1_4_1333;VARENDONKSE BEEK;10-50;intersecting or downstream;Antwerpen;189618,0881;197095,2701;13,385548;4394806;>10;88;11;2027;12519;364284;30377;1501919;8552;Varendonkse Beek;A.7.23; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;0;10 tot 2.5 m;513;L107_695;952,15;0,003963;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
168;Maas_07;119;1_4_119;MAAS;>50;intersecting or downstream;Limburg;248384,0539;194593,2006;13,145596;4440146;>10;89;12;;8199;356822;22343;6000006;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;920;VL11_203;2973,21;0,000375;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
169;Voer_05;16;1_4_16;VOER;10-50;intersecting or downstream;Limburg;247555,0078;162044,0352;14,938012;4492722;>10;90;12;;13059;370671;96866;7007318;9574;Voer;L001; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;900;L107_891;1037,14;0,002588;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
170;Maas_17;997;1_4_997;MAAS;>50;intersecting or downstream;Limburg;250810,6115;201499,1199;31,800855;4623442;>10;91;12;;20439;371467;22396;6000030;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;922;VL11_203;2057,56;0,000037;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
171;Maas_15;221;1_4_221;MAAS;>50;intersecting or downstream;Limburg;246252,2446;186348,9065;36,29616;4646226;>10;92;12;;8201;356824;22345;6000008;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;920;VL11_203;7589,74;0,003573;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
172;GroNe_03;1615;1_4_1615;GROTE NETE;10-50;intersecting or downstream;Antwerpen;212931,888;205806,7194;6,325087;4654710;>10;93;12;;7845;359475;44797;3001240;8501;Grote Nete;L7; ;70000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;0;10 tot 2.5 m;500;L107_708;1936,06;0,00442;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
173;Maas_28;267;1_4_267;MAAS;>50;intersecting or downstream;Limburg;246475,8969;184221,056;23,160121;4677106;>10;94;12;;24071;373363;22349;6000026;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;910;VL11_203;14019,75;0,002516;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
174;SoeBe_01;412;1_4_412;SOERBEEK;10-50;intersecting or downstream;Limburg;239984,6096;206267,5742;18,701119;4678802;>10;95;12;;16265;364726;55461;6010602;9890;Soerbeek;L91; ;W7.02;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;1;2.5 tot 0.25 m;921;L107_869;3100,8;0,003973;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
175;GroNe_06;1563;1_4_1563;GROTE NETE;10-50;intersecting or downstream;Antwerpen;209351,0579;206265,8336;15,065304;4896630;>10;96;12;;9227;358222;38691;1502746;8501;Grote Nete;A.7; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;500;L107_708;1384,71;0,496145;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
176;Voer_03;950;1_4_950;VOER;10-50;intersecting or downstream;Limburg;250984,4211;161069,6934;10,837287;4965042;>10;97;12;;7499;359045;36150;28557;9574;Voer;L001; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;900;L107_891;1506,83;0,003631;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
177;Abeek_01;;1_4_47;ABEEK;>50;intersecting or downstream;Limburg;245307;206405;;;;;;;;;;;;;;;;;;;;;;;;;;VL11_133;;;orginele steekproeftrekking 2014;gemeten <= 2019;;;1;
178;BolBe_08;;1_4_491;BOLLISENBEEK;10-50;intersecting or downstream;Limburg;222809,4161;204182,0791;;;;;;;;;;;;;;;;;;;;;;;;;;L107_854;;;orginele steekproeftrekking 2014;gemeten <= 2019;;;1;
179;DesNe_05;;1_4_838;DESSELSE NEET;10-50;intersecting or downstream;Antwerpen;199502;215645;;;;;;2026;;;;;;;;;;;;;;;;;;;;L111_717;;;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;;1;
180;Dommel_01;;1_4_1105;DOMMEL;>50;intersecting or downstream;Limburg;223977,4516;218188,721;;;;;;;;;;;;;;;;;;;;;;;;;;NL_M;;;orginele steekproeftrekking 2014;gemeten <= 2019;;;1;
181;Dommel_02;;1_4_1054;DOMMEL;>50;intersecting or downstream;Limburg;224563;213372;;;;;;;;;;;;;;;;;;;;;;;;;;VL05_136;;;orginele steekproeftrekking 2014;gemeten <= 2019;;;1;
182;GroNe_12;;1_4_1602;GROTE NETE;10-50;intersecting or downstream;Antwerpen;211929;205974;;;;;;;;;;;;;;;;;;;;;;;;;;L107_708;;;orginele steekproeftrekking 2014;gemeten <= 2019;;;1;
183;HanLo_01;;1_4_831;HANSKENSELSLOOP;10-50;intersecting or downstream;Antwerpen;206419;204580;;;;;;;;;;;;;;;;;;;;;;;;;;L213_123;;;orginele steekproeftrekking 2014;gemeten <= 2019;;;1;
184;Maas_01;;1_4_969;MAAS;>50;intersecting or downstream;Limburg;253230;203955;;;;;;2025;;;;;;;;;;;;;;;;;;;;VL11_203;;;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;;1;
185;Mark_01;;1_4_1640;MARK;>50;intersecting or downstream;Antwerpen;179403;231944;;;;;;;;;;;;;;;;;;;;;;;;;;VL11_145;;;orginele steekproeftrekking 2014 & steekproefvernieuwing2020;"niet bezocht voor 2019 --> geschrapt, maar komt ook voor in nieuwe steekproeftrekking in 2020; gemeten in 2020";;;1;
186;SchNe_04;;1_4_565;SCHEPPELIJKE NETE;10-50;outside;Antwerpen;203664,539;209630,135;;;;;;2024;;;;;;;;;;;;;;;;;;;;L107_705;;;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;1;
187;Stiemer_02;;1_4_1497;STIEMER;<10;outside;Limburg;230307;186913;;;;;;;;;;;;;;;;;;;;;;;;;;L213_99;;;orginele steekproeftrekking 2014;gemeten <= 2019;;;1;
188;Voer_07;;1_4_1037;VOER;10-50;intersecting or downstream;Limburg;249828;161505;;;;;;2027;;;;;;;;;;;;;;;;;;;;L107_891;;;orginele steekproeftrekking 2014 & steekproefvernieuwing2020;"niet bezocht voor 2019 --> geschrapt, maar komt ook voor in nieuwe steekproeftrekking in 2020; gemeten in 2020";steekproefvernieuwing2022_2e_cylcus;;1;
189;Voer_08;;1_4_31;VOER;<10;outside;Limburg;252130,9613;160064,3254;;;;;;2022;;;;;;;;;;;;;;;;;;;;NL_M;;;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;1;
